word,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,response,name,age,gender,
árvore,0,0,0,3,,,"[[-90.92483520507812, 351.5491533279419], [-24.28057861328125, 402.56183338165283], [-62.51422119140625, 305.70204734802246], [-33.97021484375, 400.579607963562], [-45.213653564453125, 404.49574041366577], [-40.20623779296875, 416.8608613014221], [-43.498504638671875, 404.0118398666382], [-55.873382568359375, 399.7143831253052], [-46.23553466796875, 411.4946322441101], [-44.3726806640625, 419.03421449661255], [-46.233062744140625, 420.3297643661499], [-99.23565673828125, 364.2852473258972], [-377.85205078125, 253.37317085266113], [-589.4401397705078, 117.04991912841797], [-552.1695861816406, 97.62543869018555], [-536.1374816894531, 195.90614318847656], [-557.6190490722656, 96.66061592102051], [-560.4206085205078, 126.82637786865234], [-564.0645446777344, 113.03874206542969], [-681.7242889404297, 28.82204818725586], [-675.3983306884766, 37.909217834472656], [-681.5701293945312, 32.04257011413574], [-659.6736755371094, 22.82655143737793], [-652.0051879882812, 7.96234130859375], [-641.6067504882812, 58.39279747009277], [-671.6108245849609, 55.55393028259277], [-661.6073608398438, 4.316734313964844], [-674.8639984130859, 40.323944091796875], [-678.2371826171875, 54.653120040893555], [-672.6589050292969, 80.01272392272949], [-452.16802978515625, 154.281400680542], [-228.70574951171875, 243.55493831634521], [-244.20318603515625, 274.5223846435547], [-247.79461669921875, 257.8292512893677], [-262.2215270996094, 248.1544418334961], [-248.75457763671875, 226.6713638305664], [-269.21142578125, 223.62331867218018], [-260.6234130859375, 225.9294605255127], [-215.2059326171875, 213.29327774047852], [-203.19253540039062, 222.1281909942627], [-217.38613891601562, 206.47142028808594], [-187.23931884765625, 228.15135955810547], [-215.93804931640625, 226.80059051513672], [-202.90982055664062, 253.8761043548584], [-194.87384033203125, 234.3288860321045], [-125.13900756835938, -196.4868049621582], [-99.766845703125, -131.66180419921875], [-114.23269653320312, -152.9073028564453], [-124.5245361328125, -148.0048599243164], [-112.62396240234375, -144.0908088684082], [-114.98178100585938, -161.1588249206543], [-106.07440185546875, -133.24761199951172], [-99.52114868164062, -148.27134704589844], [-99.96234130859375, -148.63609313964844], [-97.96469116210938, -135.58687591552734], [-2.836700439453125, -53.59221839904785], [564.9089965820312, 104.52581405639648], [564.9089965820312, 104.52581405639648], [669.1790771484375, 176.05137634277344], [651.4347534179688, 186.47177124023438], [646.0008544921875, 175.89300155639648], [633.8770141601562, 162.37966346740723], [636.6405639648438, 147.86365127563477], [686.3033447265625, 202.1618013381958], [709.2919311523438, 259.0297908782959], [667.8043823242188, 209.93108367919922], [676.095703125, 199.13970279693604], [690.565185546875, 196.79162406921387], [691.2454223632812, 217.8195505142212], [666.658935546875, 192.29594135284424], [680.7821655273438, 239.5314702987671], [623.3729858398438, 235.92789459228516], [-144.35369873046875, 200.09210586547852], [-274.78857421875, 246.44538116455078], [-269.4004211425781, 235.5835247039795], [-259.5187683105469, 244.11816787719727], [-271.8726501464844, 256.94468879699707], [-241.23919677734375, 195.08913803100586], [-263.9125061035156, 234.86261558532715], [-252.859619140625, 236.6253204345703], [-247.36300659179688, 250.44169235229492], [-233.36685180664062, 221.08503913879395], [-241.45932006835938, 217.55779266357422], [-236.30685424804688, 210.26791763305664], [-245.2412109375, 218.45092964172363], [-279.1735534667969, 236.11727142333984], [-359.1340637207031, 236.4883861541748], [-362.6865539550781, 246.18617248535156], [-353.89227294921875, 219.33308029174805], [-360.26593017578125, 237.25421905517578], [-348.5443420410156, 230.8175868988037], [-365.25775146484375, 207.97220420837402], [-527.8389892578125, -416.4118766784668]]",ponto1,,Masculino,
casa,0,1,1,2,,,"[[-180.17941284179688, 14.545881271362305], [-170.31576538085938, -7.803365707397461], [-189.30014038085938, -14.950332641601562], [-195.75418090820312, -30.776670455932617], [-182.84280395507812, -14.963996887207031], [-176.02838134765625, -12.339912414550781], [-193.44473266601562, 10.610956192016602], [-202.82388305664062, -8.002304077148438], [-202.77423095703125, -14.802000045776367], [-188.98727416992188, -14.035102844238281], [-186.47088623046875, -5.41816520690918], [-186.47088623046875, -5.41816520690918], [-252.13949584960938, -180.24784469604492], [-295.70330810546875, -236.8216323852539], [-285.06353759765625, -246.53327178955078], [-262.7752990722656, -186.19622039794922], [-256.0667724609375, -210.97251892089844], [-264.05438232421875, -189.15023803710938], [-286.354736328125, -191.52256393432617], [-298.40753173828125, -178.81145095825195], [-311.43634033203125, -173.50989532470703], [-323.0141906738281, -179.1012840270996], [-297.4690856933594, -197.48007202148438], [-307.500244140625, -157.39974975585938], [-306.4104919433594, -162.82757949829102], [-316.69482421875, -170.81151580810547], [-309.6288146972656, -146.60331344604492], [-497.21368408203125, 96.54539680480957], [-642.2071685791016, 16.980709075927734], [-618.6033325195312, 35.389400482177734], [-627.6211700439453, 127.46291542053223], [-612.8919525146484, 11.256059646606445], [-614.6500549316406, 24.805051803588867], [-625.4338684082031, 37.892738342285156], [-712.0645065307617, 45.41645050048828], [-709.0769653320312, 125.89066886901855], [-698.6423492431641, 19.27137565612793], [-698.4202423095703, 69.99521827697754], [-710.8725433349609, 67.18048667907715], [-706.3674621582031, 55.867658615112305], [-694.0743713378906, 54.15077018737793], [-699.674072265625, 100.34996223449707], [-698.0190582275391, 60.03988838195801], [-675.5129852294922, 49.850738525390625], [-705.2881011962891, 82.8501148223877], [-692.1024932861328, 72.28665733337402], [-538.8952178955078, 78.8642749786377], [-506.9801025390625, 24.457042694091797], [-510.3173522949219, 18.63849449157715], [-523.7784576416016, -4.638067245483398], [-515.8116607666016, 9.882974624633789], [-509.4139709472656, 59.679880142211914], [-508.8525085449219, 57.89425849914551], [-523.1237945556641, 14.494485855102539], [-494.3318786621094, 35.896230697631836], [-504.96485900878906, 31.31810760498047], [-511.04823303222656, 31.80493927001953], [-520.8503265380859, 13.275278091430664], [-512.4924163818359, 19.862354278564453], [-530.3131866455078, 34.575965881347656], [-730.9882049560547, 15.143228530883789], [-725.7841033935547, 34.76166915893555], [-724.5913848876953, 35.97026824951172], [-705.8102569580078, 33.58584022521973], [-715.6952514648438, 25.4366455078125], [-703.5298004150391, 27.336593627929688], [-704.2954788208008, 116.4289083480835], [-732.778694152832, 24.41004180908203], [-739.8597106933594, 46.42482376098633], [-732.1885986328125, 92.06994438171387], [-739.9098739624023, 97.3692512512207], [-610.0803833007812, -325.4333724975586], [-486.0632019042969, -363.01811599731445]]",ponto1,,Masculino,
