time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
557485696.126,,,,False,970.0732040405273,401.71279191970825,2.35882568359375,True,Fixation
557485712.809,,,,False,995.3142929077148,462.7001738548279,2.2713470458984375,True,
557485729.484,918.0865859985352,365.56785821914673,2.2795257568359375,True,989.7595596313477,432.2611999511719,2.3438568115234375,True,
557485746.149,938.2117080688477,430.12556076049805,2.1941986083984375,True,1004.472770690918,455.809428691864,2.288116455078125,True,
557485762.818,950.9389686584473,441.9937562942505,2.2295379638671875,True,985.9395217895508,455.2899384498596,2.2663116455078125,True,
557485779.495,956.337776184082,425.3787589073181,2.0425872802734375,True,981.002197265625,431.7335343360901,2.367462158203125,True,
557485796.171,955.3048896789551,399.67248916625977,2.2334747314453125,True,986.9443130493164,445.0947332382202,2.3670196533203125,True,
557485812.844,953.7753868103027,449.8089623451233,2.2715301513671875,True,1000.5298233032227,419.3342614173889,2.3675994873046875,True,
557485829.507,933.5104179382324,402.3014831542969,2.2130279541015625,True,982.8306198120117,471.5912461280823,2.20855712890625,True,
557485846.166,945.7407188415527,384.32782888412476,2.2308349609375,True,977.4428558349609,428.1225299835205,2.3612518310546875,True,
557485862.838,939.1876602172852,431.97519063949585,2.10858154296875,True,990.0216293334961,440.102219581604,2.3451385498046875,True,
557485879.506,945.9424209594727,419.64608430862427,2.0829620361328125,True,974.2560195922852,401.5498638153076,2.36492919921875,True,
557485896.178,954.5651435852051,420.4647159576416,2.0592498779296875,True,962.9145812988281,430.6915283203125,2.353912353515625,True,
557485912.86,935.3544616699219,385.84426403045654,2.04937744140625,True,983.4175872802734,421.97033643722534,2.27606201171875,True,
557485929.501,964.1242218017578,431.3049387931824,1.9275970458984375,True,985.5929946899414,420.77364206314087,2.3462066650390625,True,
557485946.171,951.5356636047363,405.21024227142334,2.1422882080078125,True,988.2626724243164,420.99482774734497,2.2702484130859375,True,
557485962.873,943.1532669067383,407.6490783691406,2.2507171630859375,True,980.6970977783203,426.76947355270386,2.3095855712890625,True,
557485979.502,952.34619140625,403.70423555374146,2.1811981201171875,True,989.4448471069336,428.4940266609192,2.336395263671875,True,
557485996.175,972.8884506225586,424.9844741821289,2.110504150390625,True,1011.4961242675781,451.3181233406067,2.207061767578125,True,
557486012.898,960.6428146362305,407.0053482055664,2.259490966796875,True,1012.2296905517578,449.7723340988159,2.23040771484375,True,
557486029.522,968.741340637207,402.7161741256714,2.110687255859375,True,990.5167007446289,427.481632232666,2.311859130859375,True,
557486046.087,962.9366683959961,412.4824619293213,2.14794921875,True,995.7699966430664,446.128306388855,2.3133392333984375,True,
557486062.748,958.2086563110352,418.3154296875,2.2210540771484375,True,1005.9445953369141,431.3171696662903,2.3644561767578125,True,
557486079.416,956.2740898132324,415.08918285369873,2.2467193603515625,True,1000.1764297485352,440.2627658843994,2.26123046875,True,
557486096.074,971.8083572387695,467.01541900634766,2.20147705078125,True,986.5935516357422,419.38698291778564,2.375885009765625,True,
557486112.752,952.038516998291,374.4555187225342,2.2148284912109375,True,1000.1369476318359,451.32604122161865,2.207733154296875,True,
557486129.403,968.3172225952148,395.65348863601685,2.050262451171875,True,989.9679565429688,443.07799100875854,2.307342529296875,True,
557486146.086,957.2341346740723,381.53101444244385,2.14788818359375,True,987.6499557495117,425.2218818664551,2.3318939208984375,True,
557486162.742,944.721508026123,386.46095752716064,2.184906005859375,True,1008.7633895874023,442.8210139274597,2.3100738525390625,True,
557486179.417,952.7606964111328,403.17702054977417,2.065673828125,True,988.3972549438477,426.66197061538696,2.3279266357421875,True,
557486196.084,962.702522277832,404.0109086036682,2.0498199462890625,True,986.9874572753906,383.8485074043274,2.3550262451171875,True,
557486212.798,907.9457473754883,218.69702339172363,2.3087310791015625,True,969.8056411743164,267.4316453933716,2.3304901123046875,True,
557486229.396,,,,False,957.3100662231445,170.21776914596558,2.2530670166015625,True,
557486246.046,,,,False,928.1233406066895,143.66847038269043,2.40618896484375,True,
557486262.693,888.4405517578125,94.89020347595215,2.3595733642578125,True,946.644229888916,155.72064399719238,2.283294677734375,True,
557486279.373,,,,False,929.3614768981934,138.03550958633423,2.413818359375,True,
557486296.025,,,,False,882.9386329650879,141.2130904197693,2.4704132080078125,True,
557486312.747,908.7424278259277,126.34118556976318,2.3031158447265625,True,925.9482192993164,149.4100284576416,2.413330078125,True,
557486329.357,,,,False,932.2804641723633,151.26216888427734,2.3737335205078125,True,
557486346.02,,,,False,916.3597869873047,138.72333526611328,2.410430908203125,True,
557486362.675,878.3877182006836,97.34242916107178,2.250030517578125,True,912.2763061523438,148.96353721618652,2.375213623046875,True,
557486379.34,,,,False,903.8586044311523,138.96267414093018,2.4663238525390625,True,
557486396.01,837.8664207458496,83.91640663146973,2.24334716796875,True,911.7131423950195,135.29399156570435,2.4487152099609375,True,
557486412.676,,,,False,806.30859375,92.39787340164185,2.52911376953125,True,
557486429.338,832.4291038513184,-1.123824119567871,2.3553009033203125,True,816.8835639953613,80.91063737869263,2.4486236572265625,True,Circle
557486446.011,767.5839042663574,27.646987438201904,2.2166595458984375,True,832.5191116333008,91.93316459655762,2.4689483642578125,True,
557486462.67,808.6837005615234,25.951144695281982,2.26507568359375,True,828.6852836608887,85.37664413452148,2.4149932861328125,True,
557486479.315,738.2924652099609,99.71084117889404,2.141632080078125,True,819.4872665405273,70.003981590271,2.458038330078125,True,
557486496.0,784.5601844787598,59.58643198013306,2.25250244140625,True,830.4056167602539,62.9820442199707,2.450927734375,True,
557486512.911,790.8960342407227,55.936288833618164,2.230224609375,True,800.1589965820312,80.9611701965332,2.5175323486328125,True,
557486530.224,802.5379943847656,30.03709316253662,2.2655792236328125,True,842.167911529541,95.91643810272217,2.4625701904296875,True,
557486547.34,804.7725677490234,23.255975246429443,2.3061981201171875,True,849.363899230957,94.37888860702515,2.4031982421875,True,
557486564.032,756.3907241821289,77.485671043396,2.2224273681640625,True,811.226634979248,91.98936223983765,2.472991943359375,True,
557486580.711,,,,False,843.4475898742676,105.07948637008667,2.459136962890625,True,
557486597.375,793.6712837219238,14.341278076171875,2.2963714599609375,True,841.1849784851074,86.72345638275146,2.4543914794921875,True,
557486614.039,840.4135894775391,192.7609419822693,2.34271240234375,True,909.3308258056641,217.23318099975586,2.5198974609375,True,
557486630.704,,,,False,1000.2561950683594,368.3039689064026,2.423004150390625,True,
557486647.363,945.6380081176758,364.71787691116333,2.1706695556640625,True,1037.2761154174805,403.7187194824219,2.3745269775390625,True,
557486664.032,,,,False,1010.8874130249023,430.2232789993286,2.3614044189453125,True,
557486680.658,964.0737533569336,380.31018018722534,2.103485107421875,True,1003.9797592163086,414.15010929107666,2.388916015625,True,
557486697.348,,,,False,1018.3030700683594,385.81040382385254,2.3701324462890625,True,
557486714.019,932.449951171875,338.6590361595154,2.27313232421875,True,1004.8661041259766,393.06002855300903,2.3374176025390625,True,
557486730.679,935.247745513916,348.40710639953613,2.2771453857421875,True,995.7133483886719,408.0837893486023,2.4269256591796875,True,
557486747.345,,,,False,991.171989440918,423.48793029785156,2.430816650390625,True,
557486764.002,943.2721138000488,358.52911949157715,2.243682861328125,True,991.9289016723633,384.0678906440735,2.5062103271484375,True,
557486780.671,940.8273124694824,371.947546005249,2.226531982421875,True,970.037841796875,364.2640471458435,2.534027099609375,True,
557486797.335,949.4920921325684,332.84351348876953,2.2415618896484375,True,997.6956939697266,384.51277256011963,2.512054443359375,True,
557486813.998,931.7812728881836,345.1546597480774,2.334747314453125,True,984.4364547729492,387.74455547332764,2.4982147216796875,True,
557486830.662,940.1942825317383,370.4031729698181,2.217681884765625,True,1001.9479751586914,373.89238357543945,2.4926605224609375,True,
557486847.323,944.8245048522949,343.3366370201111,2.314056396484375,True,1000.1584625244141,407.68126487731934,2.4635772705078125,True,
557486863.989,954.5963859558105,375.1193332672119,2.1731109619140625,True,999.6212768554688,393.3340644836426,2.448333740234375,True,
557486880.61,895.1039886474609,218.58295440673828,2.3436431884765625,True,957.0762634277344,260.1276898384094,2.4662628173828125,True,
557486897.309,890.7486534118652,77.91626214981079,2.4139862060546875,True,917.8187370300293,155.01814126968384,2.4925689697265625,True,
557486913.975,868.6886787414551,92.76267528533936,2.3968353271484375,True,927.564754486084,142.45182037353516,2.5086212158203125,True,
557486930.639,876.2793731689453,150.6053066253662,2.331817626953125,True,903.9538764953613,148.43252420425415,2.5399169921875,True,
557486947.306,866.3554000854492,114.48174476623535,2.415557861328125,True,929.0976333618164,164.54309463500977,2.4967803955078125,True,
557486963.962,878.8284873962402,152.36346244812012,2.387451171875,True,918.3160972595215,156.74005508422852,2.505859375,True,
557486980.631,876.8028259277344,97.5811243057251,2.2992706298828125,True,908.1585502624512,157.5513482093811,2.5043487548828125,True,
557486997.291,,,,False,911.0794258117676,171.98931455612183,2.514923095703125,True,
557487013.963,868.1921195983887,86.22121810913086,2.33636474609375,True,910.0785255432129,168.2418394088745,2.5035858154296875,True,
557487030.625,864.4866371154785,98.71685743331909,2.3815460205078125,True,933.2187652587891,214.8244071006775,2.46221923828125,True,
557487047.291,908.0327224731445,263.86834144592285,2.3575439453125,True,951.775016784668,310.4837393760681,2.5449066162109375,True,
557487064.054,927.9618072509766,383.52458238601685,2.1164703369140625,True,968.1721115112305,397.17758417129517,2.49951171875,True,
557487080.694,914.7154426574707,377.30981826782227,2.2646026611328125,True,968.7516403198242,394.90148305892944,2.47979736328125,True,
557487097.395,939.6268844604492,354.03639793395996,2.311920166015625,True,968.715934753418,399.9023652076721,2.5028076171875,True,
557487114.06,921.0869407653809,369.5430850982666,2.1695709228515625,True,974.2525863647461,396.305136680603,2.427520751953125,True,
557487130.726,947.0907783508301,407.7946901321411,2.0773162841796875,True,950.7253646850586,375.42832374572754,2.4815521240234375,True,
557487147.397,946.0880470275879,334.11797046661377,2.29925537109375,True,959.3900299072266,395.6212377548218,2.44622802734375,True,
557487164.065,,,,False,970.0324630737305,372.55464792251587,2.4786376953125,True,
557487180.738,944.9029541015625,351.8546676635742,2.21368408203125,True,968.6818313598633,389.45913076400757,2.4984893798828125,True,
557487197.405,934.203929901123,400.37280321121216,2.023590087890625,True,954.6370697021484,382.9933762550354,2.5217742919921875,True,
557487214.065,934.8907470703125,361.25699043273926,2.1658935546875,True,947.0639419555664,367.00382709503174,2.4995880126953125,True,
557487230.739,933.5934448242188,363.94437074661255,2.33056640625,True,978.7762069702148,377.6242160797119,2.3706817626953125,True,
557487247.412,931.4733123779297,399.6301317214966,2.171844482421875,True,960.0310134887695,386.21891498565674,2.438873291015625,True,
557487264.073,946.3870239257812,403.7326240539551,2.24615478515625,True,994.2414093017578,441.59766912460327,2.422271728515625,True,
557487280.713,969.0816879272461,418.0457067489624,2.2395782470703125,True,984.576301574707,419.4241261482239,2.4637298583984375,True,
557487297.398,955.7050323486328,418.8432240486145,2.213043212890625,True,1004.5852661132812,430.86256742477417,2.4355316162109375,True,
557487314.082,949.7209739685059,392.97640800476074,2.265899658203125,True,978.7343215942383,418.4076762199402,2.5166015625,True,
557487330.755,949.1554641723633,357.6902103424072,2.394073486328125,True,983.6543655395508,412.7713680267334,2.5423583984375,True,
557487347.424,986.7535400390625,447.14160203933716,2.0439300537109375,True,974.817008972168,408.60366582870483,2.515472412109375,True,
557487364.088,,,,False,,,,False,
557487380.758,,,,False,,,,False,
557487397.41,,,,False,,,,False,
557487414.078,,,,False,,,,False,
557487430.748,,,,False,,,,False,
557487447.424,,,,False,,,,False,
557487464.089,,,,False,1058.382682800293,526.5798997879028,3.169769287109375,True,
557487480.756,,,,False,968.9956283569336,116.91916465759277,2.233734130859375,True,
557487497.448,,,,False,939.5623397827148,93.17929744720459,2.3902130126953125,True,
557487514.109,,,,False,1052.0630264282227,107.10994005203247,2.048248291015625,True,
557487530.78,,,,False,964.090690612793,82.27502346038818,2.3602447509765625,True,
557487547.449,,,,False,922.6740074157715,78.20825815200806,2.42877197265625,True,
557487563.99,,,,False,981.8865966796875,154.3292212486267,2.229705810546875,True,
557487580.706,,,,False,969.1547012329102,140.55474758148193,2.300537109375,True,
557487597.32,,,,False,951.3107872009277,123.49325895309448,2.3576202392578125,True,
557487613.161,,,,False,,,,False,
557487630.647,,,,False,915.5696296691895,94.46328163146973,2.425140380859375,True,
557487647.625,890.734748840332,73.60964298248291,2.2827301025390625,True,973.7316513061523,127.6696515083313,2.33087158203125,True,
557487664.451,,,,False,946.4598655700684,99.10084247589111,2.3830108642578125,True,
557487681.114,884.4782638549805,40.349907875061035,2.287200927734375,True,939.0145683288574,116.2220048904419,2.3692626953125,True,
557487697.773,890.5722999572754,59.834396839141846,2.2844085693359375,True,899.7775840759277,90.84738492965698,2.465484619140625,True,
557487714.679,,,,False,986.890754699707,95.49782037734985,2.4141693115234375,True,
557487731.836,973.9980697631836,40.05971431732178,2.282257080078125,True,951.6799736022949,67.46556043624878,2.4882049560546875,True,
557487749.014,957.2193145751953,-6.581754684448242,2.3517608642578125,True,967.1677780151367,89.15212154388428,2.525482177734375,True,
557487766.219,972.3332977294922,46.174893379211426,2.24591064453125,True,954.2973518371582,69.47419166564941,2.5116119384765625,True,
557487782.857,927.649097442627,5.710787773132324,2.3173828125,True,1138.7361145019531,131.78630590438843,1.997314453125,True,
557487799.524,951.6703605651855,10.551316738128662,2.307861328125,True,1007.5324630737305,63.79108428955078,2.4139251708984375,True,
557487816.18,923.4281730651855,-6.9292402267456055,2.3841400146484375,True,961.8827819824219,71.54558658599854,2.5578155517578125,True,
557487832.835,932.9783248901367,10.097358226776123,2.2877960205078125,True,949.7370529174805,45.52781581878662,2.5158538818359375,True,
557487849.503,942.0868492126465,-2.9256248474121094,2.360137939453125,True,954.9219703674316,66.64969682693481,2.50958251953125,True,
557487866.16,949.2237854003906,29.211509227752686,2.33856201171875,True,989.7556686401367,78.79431009292603,2.4770050048828125,True,
557487882.821,936.1716270446777,16.769235134124756,2.3025360107421875,True,964.0478897094727,70.92612504959106,2.5608978271484375,True,
557487899.484,988.2287979125977,24.005985260009766,2.251068115234375,True,956.8550491333008,54.68165874481201,2.547454833984375,True,
557487916.137,,,,False,993.387336730957,40.88735818862915,2.506866455078125,True,
557487932.849,955.220890045166,40.95932722091675,2.209442138671875,True,1168.5733795166016,64.13290500640869,1.8990631103515625,True,
557487949.466,930.9371566772461,44.08071041107178,2.3319244384765625,True,962.9428482055664,74.61064338684082,2.53338623046875,True,
557487966.122,922.2739219665527,-14.330592155456543,2.4150848388671875,True,972.5621795654297,61.502559185028076,2.5140533447265625,True,
557487982.792,,,,False,866.8040657043457,55.86251735687256,2.5628204345703125,True,
